date,team1,team2,1,X,2
2024-02-02,Ath Bilbao,Mallorca,+204,+286,+656
2024-02-01,Getafe,Real Madrid,+532,+286,+175
2024-01-31,Atl. Madrid,Rayo Vallecano,+172,+286,+491
2024-01-31,Barcelona,Osasuna,+303,+434,+757
2024-01-29,Getafe,Granada,+122,+241,+371
2024-01-28,Atl. Madrid,Valencia,+179,+301,+517
2024-01-28,Sevilla,Osasuna,+110,+215,+288
2024-01-28,Cadiz,Ath Bilbao,+383,+231,+120
2024-01-28,Celta Vigo,Girona,+170,+250,+150
2024-01-27,Mallorca,Betis,+124,+214,+250
2024-01-27,Barcelona,Villarreal,+278,+466,+622
2024-01-27,Las Palmas,Real Madrid,+586,+379,+233
2024-01-27,Real Sociedad,Rayo Vallecano,+128,+223,+448
2024-01-26,Almeria,Alaves,+175,+208,+173
2024-01-22,Granada,Atl. Madrid,+401,+304,+156
2024-01-21,Girona,Sevilla,+130,+296,+323
2024-01-21,Betis,Barcelona,+294,+296,+122
2024-01-21,Real Madrid,Almeria,+909,+865,+2000
2024-01-21,Osasuna,Getafe,+139,+186,+256
2024-01-20,Celta Vigo,Real Sociedad,+154,+189,+219
2024-01-20,Valencia,Ath Bilbao,+243,+221,+123
2024-01-20,Villarreal,Mallorca,+108,+240,+258
2024-01-20,Rayo Vallecano,Las Palmas,+141,+258,+430
2024-01-19,Alaves,Cadiz,+156,+256,+529
2024-01-14,Cadiz,Valencia,+198,+186,+170
2024-01-14,Almeria,Girona,+277,+280,+110
2024-01-13,Betis,Granada,+143,+277,+411
2024-01-13,Ath Bilbao,Real Sociedad,+108,+214,+291
2024-01-13,Mallorca,Celta Vigo,+135,+197,+244
2024-01-13,Las Palmas,Villarreal,+159,+242,+167
2024-01-12,Sevilla,Alaves,+100,+225,+300
2024-01-04,Las Palmas,Barcelona,+527,+359,+208
2024-01-04,Sevilla,Ath Bilbao,+197,+221,+141
2024-01-04,Osasuna,Almeria,+145,+277,+394
2024-01-03,Girona,Atl. Madrid,+160,+265,+152
2024-01-03,Celta Vigo,Betis,+120,+225,+240
2024-01-03,Real Madrid,Mallorca,+476,+535,+1264
2024-01-03,Granada,Cadiz,+123,+204,+261
2024-01-02,Valencia,Villarreal,+117,+239,+237
2024-01-02,Real Sociedad,Alaves,+200,+287,+657
2024-01-02,Getafe,Rayo Vallecano,+136,+197,+241
2023-12-23,Atl. Madrid,Sevilla,-179,+317,+469
2023-12-21,Alaves,Real Madrid,+449,+303,-172
2023-12-21,Mallorca,Osasuna,+121,+190,+281
2023-12-21,Betis,Girona,+165,+250,+150
2023-12-21,Cadiz CF,Real Sociedad,+463,+249,-147
2023-12-20,Ath Bilbao,Las Palmas,-286,+399,+697
2023-12-20,Villarreal,Celta Vigo,+129,+250,+194
2023-12-20,Barcelona,Almeria,-769,+765,+1405
2023-12-19,Atl. Madrid,Getafe,-233,+353,+637
2023-12-19,Granada CF,Sevilla,+194,+221,+142
2023-12-19,Rayo Vallecano,Valencia,+124,+217,+236
2023-12-18,Girona,Alaves,-175,+305,+451
2023-12-17,Real Madrid,Villarreal,-417,+556,+985
2023-12-17,Las Palmas,Cadiz CF,-104,+229,+318
2023-12-17,Real Sociedad,Betis,-172,+304,+468
2023-12-17,Almeria,Mallorca,+142,+214,+218
2023-12-16,Valencia,Barcelona,+455,+334,-182
2023-12-16,Sevilla,Getafe,-130,+249,+392
2023-12-16,Ath Bilbao,Atl. Madrid,+147,+235,+184
2023-12-16,Celta Vigo,Granada CF,-152,+295,+413
2023-12-15,Osasuna,Rayo Vallecano,+117,+219,+254
2023-12-11,Rayo Vallecano,Celta Vigo,+159,+220,+183
2023-12-10,Barcelona,Girona,-213,+397,+471
2023-12-10,Cadiz CF,Osasuna,+179,+206,+168
2023-12-10,Atl. Madrid,Almeria,-500,+598,+1148
2023-12-09,Mallorca,Sevilla,+156,+202,+197
2023-12-09,Villarreal,Real Sociedad,+225,+244,+119
2023-12-09,Betis,Real Madrid,+347,+294,-137
2023-12-09,Alaves,Las Palmas,+100,+219,+311
2023-12-08,Getafe,Valencia,+158,+190,+208
2023-12-04,Celta Vigo,Cadiz CF,-185,+304,+525
2023-12-03,Barcelona,Atl. Madrid,-106,+280,+270
2023-12-03,Sevilla,Villarreal,-104,+275,+261
2023-12-03,Almeria,Betis,+245,+269,+102
2023-12-03,Mallorca,Alaves,+156,+192,+210
2023-12-02,Osasuna,Real Sociedad,+272,+216,+114
2023-12-02,Real Madrid,Granada CF,-625,+685,+1360
2023-12-02,Ath Bilbao,Rayo Vallecano,-227,+359,+608
2023-12-02,Girona,Valencia,-152,+290,+409
2023-12-01,Las Palmas,Getafe,+137,+191,+244
2023-11-29,Mallorca,Cadiz CF,-115,+225,+373
2023-11-27,Girona,Ath Bilbao,+120,+261,+211
2023-11-26,Betis,Las Palmas,-147,+270,+436
2023-11-26,Cadiz CF,Real Madrid,+573,+351,-217
2023-11-26,Real Sociedad,Sevilla,-161,+281,+467
2023-11-26,Villarreal,Osasuna,+117,+245,+234
2023-11-25,Atl. Madrid,Mallorca,-286,+393,+797
2023-11-25,Getafe,Almeria,-133,+262,+382
2023-11-25,Valencia,Celta Vigo,+121,+231,+237
2023-11-25,Rayo Vallecano,Barcelona,+394,+305,-152
2023-11-24,Alaves,Granada CF,-143,+263,+413
2023-11-12,Atl. Madrid,Villarreal,-303,+461,+738
2023-11-12,Sevilla,Betis,+114,+250,+233
2023-11-12,Barcelona,Alaves,-417,+530,+1011
2023-11-11,Real Madrid,Valencia,-303,+441,+772
2023-11-11,Granada CF,Getafe,+147,+211,+209
2023-11-11,Osasuna,Las Palmas,-108,+225,+337
